,lookback,frequency,ShortTermWeight,LongTermWeight,RSI_weight,v_ratio_weight,Z_weight,TotalAnnReturn,CAGR,sharpe,volatility,p_val
1,10,1W-FRI-100%,2,1,2,1,-1,4.504380082,0.4626,1.599437717,0.270965713,0.00112
4,10,1W-FRI-100%,3,1,1,1,-1,4.822327654,0.4724,1.584005633,0.279424367,0.00202
5,10,1W-FRI-100%,3,1,2,1,-1,4.142567657,0.4507,1.517112142,0.282000096,0.0036
8,10,1W-FRI-100%,4,1,1,1,-1,4.299879627,0.456,1.515240963,0.285593371,0.00348
9,10,1W-FRI-100%,4,1,2,1,-1,4.204263662,0.4528,1.503893912,0.286362973,0.00346
0,10,1W-FRI-100%,2,1,1,1,-1,3.206064361,0.415,1.473180699,0.270664965,0.00188
13,10,1W-FRI-100%,5,1,2,1,-1,3.912245334,0.4426,1.448045176,0.293914988,0.00396
15,10,1W-FRI-100%,5,2,2,1,-1,3.43881825,0.4246,1.430665529,0.286947163,0.00264
14,10,1W-FRI-100%,5,2,1,1,-1,3.410323159,0.4235,1.427829031,0.286920204,0.00234
12,10,1W-FRI-100%,5,1,1,1,-1,3.588909672,0.4305,1.420504775,0.293312307,0.00242
7,10,1W-FRI-100%,3,2,2,1,-1,2.837800739,0.3984,1.418317749,0.272877556,0.00134
2,10,1W-FRI-100%,2,2,1,1,-1,2.469420174,0.3798,1.39601225,0.265981596,0.00076
6,10,1W-FRI-100%,3,2,1,1,-1,2.626592872,0.388,1.390236419,0.272764446,0.00142
3,10,1W-FRI-100%,2,2,2,1,-1,2.18008528,0.3634,1.348643172,0.266104296,0.001
11,10,1W-FRI-100%,4,2,2,1,-1,2.370190816,0.3744,1.323000934,0.280543896,0.00382
10,10,1W-FRI-100%,4,2,1,1,-1,2.302688466,0.3706,1.313663831,0.280279361,0.004
79,30,1W-FRI-100%,5,2,2,1,-1,0.969942451,0.2642,1.147674555,0.23817069,0.00062
74,30,1W-FRI-100%,4,2,1,1,-1,0.908971015,0.2569,1.124462042,0.237509824,0.00156
66,30,1W-FRI-100%,2,2,1,1,-1,0.785432309,0.2406,1.098271565,0.228987122,0.00212
75,30,1W-FRI-100%,4,2,2,1,-1,0.830652399,0.2468,1.089191733,0.237462072,0.00192
71,30,1W-FRI-100%,3,2,2,1,-1,0.811844435,0.2442,1.085385721,0.236027801,0.00144
65,30,1W-FRI-100%,2,1,2,1,-1,0.743924134,0.2347,1.064362924,0.232315015,0.0011
70,30,1W-FRI-100%,3,2,1,1,-1,0.752558521,0.2359,1.057997983,0.235374406,0.00218
78,30,1W-FRI-100%,5,2,1,1,-1,0.72327733,0.2316,1.023531018,0.241113832,0.00328
67,30,1W-FRI-100%,2,2,2,1,-1,0.653145941,0.2208,1.02170066,0.229859147,0.00344
73,30,1W-FRI-100%,4,1,2,1,-1,0.734153172,0.2332,1.003327571,0.249282301,0.00202
64,30,1W-FRI-100%,2,1,1,1,-1,0.63013989,0.217,0.990330434,0.235169833,0.00308
77,30,1W-FRI-100%,5,1,2,1,-1,0.662525193,0.2223,0.955309175,0.253005606,0.00418
82,30,2W-FRI-100%,2,2,1,1,-1,0.526418247,0.1986,0.93596757,0.230611367,0.00248
76,30,1W-FRI-100%,5,1,1,1,-1,0.60989325,0.2136,0.925257594,0.253246607,0.00368
68,30,1W-FRI-100%,3,1,1,1,-1,0.552906508,0.2035,0.917491366,0.243209744,0.00334
83,30,2W-FRI-100%,2,2,2,1,-1,0.472511535,0.1879,0.893620141,0.23122815,0.00244
69,30,1W-FRI-100%,3,1,2,1,-1,0.518285013,0.197,0.891743261,0.244131629,0.0035
72,30,1W-FRI-100%,4,1,1,1,-1,0.527578748,0.1988,0.886316899,0.2485946,0.0075
86,30,2W-FRI-100%,3,2,1,1,-1,0.462942908,0.1859,0.869252062,0.237318706,0.0044
87,30,2W-FRI-100%,3,2,2,1,-1,0.439774641,0.1809,0.850706217,0.237374738,0.00564
90,30,2W-FRI-100%,4,2,1,1,-1,0.411164791,0.1746,0.82134414,0.239634895,0.00798
91,30,2W-FRI-100%,4,2,2,1,-1,0.411164791,0.1746,0.82134414,0.239634895,0.00862
95,30,2W-FRI-100%,5,2,2,1,-1,0.377796305,0.1667,0.795007925,0.238361662,0.00708
33,20,1W-FRI-100%,2,1,2,1,-1,0.377710329,0.1667,0.77775027,0.245929174,0.02
32,20,1W-FRI-100%,2,1,1,1,-1,0.331288623,0.1549,0.734416406,0.246027268,0.01992
81,30,2W-FRI-100%,2,1,2,1,-1,0.299307962,0.1461,0.728306817,0.232882808,0.0135
40,20,1W-FRI-100%,4,1,1,1,-1,0.309978437,0.1491,0.702817113,0.251539092,0.03622
38,20,1W-FRI-100%,3,2,1,1,-1,0.298783278,0.1459,0.696689148,0.248609657,0.0434
43,20,1W-FRI-100%,4,2,2,1,-1,0.298419753,0.1458,0.692002015,0.250987835,0.04508
39,20,1W-FRI-100%,3,2,2,1,-1,0.286667027,0.1424,0.683965086,0.248526808,0.046
23,10,2W-FRI-100%,3,2,2,1,-1,0.291852137,0.1439,0.678968774,0.25433939,0.11806
34,20,1W-FRI-100%,2,2,1,1,-1,0.274623493,0.1388,0.678182293,0.244238495,0.02366
