,lookback,frequency,ShortTermWeight,LongTermWeight,RSI_weight,v_ratio_weight,Z_weight,TotalAnnReturn,CAGR,sharpe,volatility,p_val
2,10,1W-FRI-100%,3,1,1,1,-2,6.416188894,0.5142,1.727371128,0.272053387,0.00036
10,10,1W-FRI-100%,3,1,1,2,-2,6.403137579,0.5139,1.726099834,0.27214714,0.00048
6,10,1W-FRI-100%,3,1,1,1.5,-2,6.403137579,0.5139,1.726099834,0.27214714,0.0005
0,10,1W-FRI-100%,3,1,1,1,-3,6.137082608,0.5076,1.731155586,0.268221763,6.00E-05
4,10,1W-FRI-100%,3,1,1,1.5,-3,6.100859001,0.5068,1.72794503,0.268394395,0.00014
8,10,1W-FRI-100%,3,1,1,2,-3,6.048325037,0.5055,1.724245729,0.268465477,1.00E-04
5,10,1W-FRI-100%,3,1,1,1.5,-2.5,5.741473195,0.4978,1.693429837,0.270518147,0.00018
9,10,1W-FRI-100%,3,1,1,2,-2.5,5.741473195,0.4978,1.693429837,0.270518147,0.00022
1,10,1W-FRI-100%,3,1,1,1,-2.5,5.741473195,0.4978,1.693429837,0.270518147,0.00024
7,10,1W-FRI-100%,3,1,1,1.5,-1.5,5.321841735,0.4867,1.644351781,0.274515547,0.00082
11,10,1W-FRI-100%,3,1,1,2,-1.5,5.321841735,0.4867,1.644351781,0.274515547,0.00082
3,10,1W-FRI-100%,3,1,1,1,-1.5,5.296495001,0.486,1.644093908,0.274210411,0.0009
