,lookback,frequency,ShortTermWeight,LongTermWeight,RSI_weight,v_ratio_weight,Z_weight,TotalAnnReturn,CAGR,sharpe,volatility,p_val
219,20,1W-FRI-100%,1,2,1,0,0,0.524987408,0.1983,0.870391243,0.254207302,0.07412
222,20,1W-FRI-100%,1,3,1,0,0,0.522209556,0.1978,0.862937577,0.256552912,0.06718
359,25,2W-FRI-100%,1,3,3,0,0,0.515279261,0.1964,0.857140463,0.257228411,0.29962
344,25,1W-FRI-100%,3,1,3,0,0,0.488160698,0.1911,0.839429969,0.256959395,0.35908
342,25,1W-FRI-100%,3,1,1,0,0,0.474829685,0.1884,0.834131611,0.255182496,0.31726
220,20,1W-FRI-100%,1,2,2,0,0,0.464570346,0.1862,0.829056394,0.254113767,0.06524
224,20,1W-FRI-100%,1,3,3,0,0,0.456556626,0.1845,0.813908794,0.25837757,0.08104
233,20,1W-FRI-100%,2,3,3,0,0,0.443631307,0.1818,0.810578846,0.255491037,0.0576
355,25,2W-FRI-100%,1,2,2,0,0,0.437136238,0.1804,0.803958472,0.25646112,0.34502
221,20,1W-FRI-100%,1,2,3,0,0,0.4370718,0.1803,0.801287829,0.257508002,0.05374
231,20,1W-FRI-100%,2,3,1,0,0,0.421629491,0.1769,0.800794076,0.252227574,0.12092
343,25,1W-FRI-100%,3,1,2,0,0,0.430853497,0.179,0.798450002,0.256728732,0.41122
335,25,1W-FRI-100%,2,1,3,0,0,0.425373494,0.1778,0.798162537,0.254870185,0.2481
333,25,1W-FRI-100%,2,1,1,0,0,0.419637899,0.1765,0.794079284,0.254672779,0.2394
232,20,1W-FRI-100%,2,3,2,0,0,0.40366393,0.1728,0.785271987,0.252746061,0.11362
230,20,1W-FRI-100%,2,2,3,0,0,0.391902348,0.1701,0.769543456,0.25560859,0.08036
354,25,2W-FRI-100%,1,2,1,0,0,0.379725113,0.1672,0.760641959,0.255198314,0.34886
216,20,1W-FRI-100%,1,1,1,0,0,0.370189376,0.1648,0.751496779,0.255452799,0.10764
229,20,1W-FRI-100%,2,2,2,0,0,0.370189376,0.1648,0.751496779,0.255452799,0.10994
242,20,1W-FRI-100%,3,3,3,0,0,0.370189376,0.1648,0.751496779,0.255452799,0.11086
368,25,2W-FRI-100%,2,3,3,0,0,0.345432069,0.1586,0.730977917,0.254928912,0.30004
356,25,2W-FRI-100%,1,2,3,0,0,0.348945242,0.1595,0.726303385,0.259203555,0.42036
217,20,1W-FRI-100%,1,1,2,0,0,0.336702959,0.1563,0.719231502,0.256709085,0.10684
