,lookback,frequency,ShortTermWeight,LongTermWeight,RSI_weight,v_ratio_weight,Z_weight,TotalAnnReturn,CAGR,sharpe,volatility,p_val
4,10,1W-FRI-100%,3,1,1,1,-2,6.416188894,0.5142,1.727371128,0.272053387,0.00048
8,10,1W-FRI-100%,3,1,1,1.5,-2,6.403137579,0.5139,1.726099834,0.27214714,0.00034
12,10,1W-FRI-100%,3,1,1,2,-2,6.403137579,0.5139,1.726099834,0.27214714,0.00048
0,10,1W-FRI-100%,3,1,1,0.5,-2,6.01400074,0.5046,1.702591856,0.27211115,0.00044
1,10,1W-FRI-100%,3,1,1,0.5,-1.5,5.349923766,0.4874,1.647943717,0.274191544,0.00084
13,10,1W-FRI-100%,3,1,1,2,-1.5,5.321841735,0.4867,1.644351781,0.274515547,0.00078
9,10,1W-FRI-100%,3,1,1,1.5,-1.5,5.321841735,0.4867,1.644351781,0.274515547,0.0008
5,10,1W-FRI-100%,3,1,1,1,-1.5,5.296495001,0.486,1.644093908,0.274210411,0.0009
2,10,1W-FRI-100%,3,1,1,0.5,-1,4.86786368,0.4737,1.587434246,0.279427684,0.00198
6,10,1W-FRI-100%,3,1,1,1,-1,4.822327654,0.4724,1.584005633,0.279424367,0.00196
14,10,1W-FRI-100%,3,1,1,2,-1,4.575497241,0.4648,1.55774368,0.280969151,0.00264
10,10,1W-FRI-100%,3,1,1,1.5,-1,4.521359573,0.4631,1.553533006,0.280942329,0.0029
3,10,1W-FRI-100%,3,1,1,0.5,-0.5,3.510116056,0.4275,1.427558282,0.289531726,0.0029
7,10,1W-FRI-100%,3,1,1,1,-0.5,3.453741579,0.4252,1.421786949,0.289555315,0.0027
11,10,1W-FRI-100%,3,1,1,1.5,-0.5,3.42047428,0.4239,1.417969063,0.289664336,0.0026
15,10,1W-FRI-100%,3,1,1,2,-0.5,3.42047428,0.4239,1.417969063,0.289664336,0.0028
