,lookback,frequency,ShortTermWeight,LongTermWeight,RSI_weight,v_ratio_weight,Z_weight,TotalAnnReturn,CAGR,sharpe,volatility,p_val
12,10,1W-FRI-100%,4,1,1,0,0,2.763541347,0.3948,1.312016002,0.29863105,0.0124
13,10,1W-FRI-100%,4,1,2,0,0,2.685940213,0.391,1.303386066,0.298342786,0.01362
8,10,1W-FRI-100%,3,1,1,0,0,2.587780094,0.386,1.301972723,0.295027087,0.00874
9,10,1W-FRI-100%,3,1,2,0,0,2.397003239,0.3758,1.27711759,0.29466751,0.0102
17,10,1W-FRI-100%,5,1,2,0,0,2.568864166,0.385,1.270722137,0.303787454,0.01492
16,10,1W-FRI-100%,5,1,1,0,0,2.561237268,0.3846,1.269737596,0.303787667,0.01514
18,10,1W-FRI-100%,5,2,1,0,0,1.755454396,0.3356,1.195377097,0.287106542,0.02492
15,10,1W-FRI-100%,4,2,2,0,0,1.654038768,0.3282,1.168850444,0.289118827,0.0192
4,10,1W-FRI-100%,2,1,1,0,0,1.654038768,0.3282,1.168850444,0.289118827,0.01944
5,10,1W-FRI-100%,2,1,2,0,0,1.662380555,0.3288,1.168176223,0.289903645,0.0257
14,10,1W-FRI-100%,4,2,1,0,0,1.595346882,0.3237,1.15709783,0.288942158,0.02832
19,10,1W-FRI-100%,5,2,2,0,0,1.54655075,0.3198,1.147258371,0.288701706,0.02764
7,10,1W-FRI-100%,2,2,2,0,0,1.351525225,0.3033,1.116237644,0.283859104,0.03532
0,10,1W-FRI-100%,1,1,1,0,0,1.351525225,0.3033,1.116237644,0.283859104,0.03658
6,10,1W-FRI-100%,2,2,1,0,0,1.336367944,0.3019,1.112026592,0.283978821,0.03768
10,10,1W-FRI-100%,3,2,1,0,0,1.339724853,0.3022,1.10512347,0.286471117,0.02746
11,10,1W-FRI-100%,3,2,2,0,0,1.318733177,0.3003,1.099232027,0.286662255,0.02338
1,10,1W-FRI-100%,1,1,2,0,0,1.205194915,0.2896,1.072785294,0.285443765,0.05888
2,10,1W-FRI-100%,1,2,1,0,0,1.044813977,0.2728,1.041860483,0.279029118,0.0449
3,10,1W-FRI-100%,1,2,2,0,0,1.036042023,0.2718,1.036345958,0.280010819,0.05768
82,20,1W-FRI-100%,1,2,1,0,0,0.524987408,0.1983,0.870391243,0.254207302,0.07506
83,20,1W-FRI-100%,1,2,2,0,0,0.464570346,0.1862,0.829056394,0.254113767,0.06478
87,20,1W-FRI-100%,2,2,2,0,0,0.370189376,0.1648,0.751496779,0.255452799,0.11006
80,20,1W-FRI-100%,1,1,1,0,0,0.370189376,0.1648,0.751496779,0.255452799,0.11148
81,20,1W-FRI-100%,1,1,2,0,0,0.336702959,0.1563,0.719231502,0.256709085,0.1081
86,20,1W-FRI-100%,2,2,1,0,0,0.315432369,0.1506,0.70395396,0.25390786,0.15514
91,20,1W-FRI-100%,3,2,2,0,0,0.31974609,0.1518,0.700538146,0.258288855,0.23108
95,20,1W-FRI-100%,4,2,2,0,0,0.320646729,0.152,0.698982544,0.259722949,0.2167
84,20,1W-FRI-100%,2,1,1,0,0,0.320646729,0.152,0.698982544,0.259722949,0.2171
94,20,1W-FRI-100%,4,2,1,0,0,0.309554171,0.149,0.688420274,0.259654665,0.21966
85,20,1W-FRI-100%,2,1,2,0,0,0.293404753,0.1444,0.670148957,0.261072694,0.22434
90,20,1W-FRI-100%,3,2,1,0,0,0.276256063,0.1393,0.65675796,0.258199355,0.24198
57,15,1W-FRI-100%,5,1,2,0,0,0.264030597,0.1356,0.603667109,0.288991789,0.19364
56,15,1W-FRI-100%,5,1,1,0,0,0.264030597,0.1356,0.603667109,0.288991789,0.1954
102,20,2W-FRI-100%,1,2,1,0,0,0.218018657,0.1205,0.589784274,0.258070835,0.37404
99,20,1W-FRI-100%,5,2,2,0,0,0.201393654,0.1146,0.572131642,0.254741064,0.22858
98,20,1W-FRI-100%,5,2,1,0,0,0.199290451,0.1138,0.569444752,0.254614809,0.22636
107,20,2W-FRI-100%,2,2,2,0,0,0.19062851,0.1105,0.551410912,0.26003545,0.30776
100,20,2W-FRI-100%,1,1,1,0,0,0.19062851,0.1105,0.551410912,0.26003545,0.3082
88,20,1W-FRI-100%,3,1,1,0,0,0.176352085,0.105,0.534465158,0.256937003,0.2397
89,20,1W-FRI-100%,3,1,2,0,0,0.176646758,0.1051,0.534180501,0.257596961,0.23558
96,20,1W-FRI-100%,5,1,1,0,0,0.177591771,0.1055,0.529651786,0.263341461,0.3429
28,10,2W-FRI-100%,3,1,1,0,0,0.185918345,0.1087,0.521920575,0.283454148,0.27054
29,10,2W-FRI-100%,3,1,2,0,0,0.185563843,0.1086,0.521467302,0.283454893,0.27504
106,20,2W-FRI-100%,2,2,1,0,0,0.16770347,0.1015,0.520329868,0.258502753,0.35814
103,20,2W-FRI-100%,1,2,2,0,0,0.163601807,0.0999,0.515123035,0.25755008,0.3882
53,15,1W-FRI-100%,4,1,2,0,0,0.18161775,0.1071,0.514296883,0.285902714,0.26704
40,15,1W-FRI-100%,1,1,1,0,0,0.174550339,0.1043,0.510901255,0.278722161,0.34414
47,15,1W-FRI-100%,2,2,2,0,0,0.174550339,0.1043,0.510901255,0.278722161,0.34602
52,15,1W-FRI-100%,4,1,1,0,0,0.175868877,0.1048,0.506898985,0.285824607,0.2668
93,20,1W-FRI-100%,4,1,2,0,0,0.157657251,0.0974,0.503051743,0.260498063,0.25554
32,10,2W-FRI-100%,4,1,1,0,0,0.173582907,0.1039,0.502821886,0.28742487,0.36178
33,10,2W-FRI-100%,4,1,2,0,0,0.170732204,0.1028,0.499587788,0.286717186,0.35294
41,15,1W-FRI-100%,1,1,2,0,0,0.166189627,0.1009,0.49945693,0.278694319,0.37144
101,20,2W-FRI-100%,1,1,2,0,0,0.154838249,0.0962,0.49908969,0.26020576,0.30284
46,15,1W-FRI-100%,2,2,1,0,0,0.165418566,0.1006,0.498515322,0.27852486,0.34112
92,20,1W-FRI-100%,4,1,1,0,0,0.153967675,0.0958,0.497594042,0.260212624,0.26402
97,20,1W-FRI-100%,5,1,2,0,0,0.153536188,0.0956,0.493968947,0.263474042,0.34334
48,15,1W-FRI-100%,3,1,1,0,0,0.165384741,0.1006,0.492484626,0.286402795,0.32278
43,15,1W-FRI-100%,1,2,2,0,0,0.152660744,0.0953,0.48691404,0.270893648,0.21552
49,15,1W-FRI-100%,3,1,2,0,0,0.158437134,0.0977,0.483016128,0.286271204,0.32534
37,10,2W-FRI-100%,5,1,2,0,0,0.145029982,0.0919,0.462952784,0.28799367,0.42036
36,10,2W-FRI-100%,5,1,1,0,0,0.14408743,0.0915,0.461572574,0.287991333,0.43004
51,15,1W-FRI-100%,3,2,2,0,0,0.136922207,0.0883,0.453362908,0.283342093,0.30736
58,15,1W-FRI-100%,5,2,1,0,0,0.137204576,0.0885,0.453292584,0.284200286,0.28704
59,15,1W-FRI-100%,5,2,2,0,0,0.137204576,0.0885,0.453292584,0.284200286,0.2882
50,15,1W-FRI-100%,3,2,1,0,0,0.133218542,0.0866,0.447675227,0.28325584,0.29338
111,20,2W-FRI-100%,3,2,2,0,0,0.119960131,0.0804,0.44030077,0.260788214,0.50522
110,20,2W-FRI-100%,3,2,1,0,0,0.119960131,0.0804,0.44030077,0.260788214,0.51204
42,15,1W-FRI-100%,1,2,1,0,0,0.12208299,0.0814,0.438159516,0.27027575,0.27084
45,15,1W-FRI-100%,2,1,2,0,0,0.123491069,0.0821,0.431280216,0.284915508,0.3372
54,15,1W-FRI-100%,4,2,1,0,0,0.106530371,0.0737,0.402752721,0.284870054,0.37458
44,15,1W-FRI-100%,2,1,1,0,0,0.1055175,0.0732,0.400972236,0.28487681,0.3817
55,15,1W-FRI-100%,4,2,2,0,0,0.1055175,0.0732,0.400972236,0.28487681,0.38244
25,10,2W-FRI-100%,2,1,2,0,0,0.10273236,0.0717,0.400322365,0.275406423,0.34542
38,10,2W-FRI-100%,5,2,1,0,0,0.099490931,0.07,0.394514234,0.274915303,0.38134
39,10,2W-FRI-100%,5,2,2,0,0,0.099490931,0.07,0.394514234,0.274915303,0.38274
35,10,2W-FRI-100%,4,2,2,0,0,0.095589305,0.0679,0.387139184,0.274866561,0.3081
24,10,2W-FRI-100%,2,1,1,0,0,0.095589305,0.0679,0.387139184,0.274866561,0.30846
23,10,2W-FRI-100%,1,2,2,0,0,0.085400225,0.0623,0.373346616,0.260408548,0.40918
34,10,2W-FRI-100%,4,2,1,0,0,0.087702511,0.0636,0.371907619,0.274370441,0.3873
22,10,2W-FRI-100%,1,2,1,0,0,0.082051167,0.0604,0.366291895,0.260056434,0.4148
31,10,2W-FRI-100%,3,2,2,0,0,0.076088704,0.0569,0.350674445,0.265683917,0.34572
104,20,2W-FRI-100%,2,1,1,0,0,0.070706352,0.0537,0.34000646,0.26208503,0.50924
115,20,2W-FRI-100%,4,2,2,0,0,0.070706352,0.0537,0.34000646,0.26208503,0.51126
105,20,2W-FRI-100%,2,1,2,0,0,0.067668232,0.0519,0.332905063,0.262324919,0.51096
