Date,DIA,TLT
2015-01-02,177.94000244140625,127.31999969482422
2015-01-05,174.83999633789062,129.32000732421875
2015-01-06,173.38999938964844,131.64999389648438
2015-01-07,175.58999633789062,131.38999938964844
2015-01-08,178.75999450683594,129.64999389648438
2015-01-09,177.22000122070312,131.07000732421875
2015-01-12,176.24000549316406,131.82000732421875
2015-01-13,175.97999572753906,131.82000732421875
2015-01-14,174.05999755859375,132.82000732421875
2015-01-15,173.05999755859375,134.91000366210938
2015-01-16,174.6699981689453,133.19000244140625
2015-01-20,174.89999389648438,134.9600067138672
2015-01-21,175.35000610351562,133.39999389648438
2015-01-22,177.9199981689453,132.9199981689453
2015-01-23,176.41000366210938,134.77000427246094
2015-01-26,176.5,134.36000061035156
2015-01-27,173.58999633789062,134.57000732421875
2015-01-28,171.72000122070312,136.77000427246094
2015-01-29,173.89999389648438,135.8699951171875
2015-01-30,171.4499969482422,138.27999877929688
2015-02-02,173.27000427246094,137.47999572753906
2015-02-03,176.3300018310547,134.57000732421875
2015-02-04,176.52999877929688,134.8000030517578
2015-02-05,178.5500030517578,133.32000732421875
2015-02-06,178.08999633789062,130.9600067138672
2015-02-09,177.08999633789062,130.75
2015-02-10,178.50999450683594,129.7100067138672
2015-02-11,178.6999969482422,129.9499969482422
2015-02-12,179.83999633789062,129.52000427246094
2015-02-13,180.33999633789062,128.19000244140625
2015-02-17,180.57000732421875,126.26000213623047
2015-02-18,180.47000122070312,127.01000213623047
2015-02-19,180.08999633789062,126.16999816894531
2015-02-20,181.13999938964844,126.54000091552734
2015-02-23,180.9199981689453,127.98999786376953
2015-02-24,181.91000366210938,129.6699981689453
2015-02-25,181.9600067138672,130.22999572753906
2015-02-26,182.00999450683594,128.4499969482422
2015-02-27,181.19000244140625,129.52999877929688
2015-03-02,182.67999267578125,126.87000274658203
2015-03-03,181.8699951171875,126.41000366210938
2015-03-04,180.77999877929688,126.44999694824219
2015-03-05,181.1699981689453,126.29000091552734
2015-03-06,178.39999389648438,123.5
2015-03-09,179.8000030517578,124.63999938964844
2015-03-10,176.69000244140625,126.27999877929688
2015-03-11,176.35000610351562,127.19999694824219
2015-03-12,178.97000122070312,127.11000061035156
2015-03-13,177.55999755859375,126.72000122070312
2015-03-16,179.77999877929688,127.94000244140625
2015-03-17,178.5,129.0
2015-03-18,180.72999572753906,131.49000549316406
2015-03-19,179.66000366210938,130.82000732421875
2015-03-20,180.9600067138672,131.50999450683594
2015-03-23,180.85000610351562,131.35000610351562
2015-03-24,179.8300018310547,132.6199951171875
2015-03-25,176.9199981689453,131.5
2015-03-26,176.47999572753906,129.4499969482422
2015-03-27,176.80999755859375,131.05999755859375
2015-03-30,179.38999938964844,130.41000366210938
2015-03-31,177.5800018310547,130.69000244140625
2015-04-01,176.74000549316406,132.1300048828125
2015-04-02,177.3300018310547,130.72999572753906
2015-04-06,178.58999633789062,130.0
2015-04-07,178.4199981689453,131.08999633789062
2015-04-08,178.75,131.1300048828125
2015-04-09,179.39999389648438,129.42999267578125
2015-04-10,180.3699951171875,129.6199951171875
2015-04-13,179.63999938964844,129.8000030517578
2015-04-14,180.17999267578125,130.72000122070312
2015-04-15,180.8800048828125,130.61000061035156
2015-04-16,180.91000366210938,129.9600067138672
2015-04-17,177.94000244140625,131.4499969482422
2015-04-20,180.02999877929688,130.2899932861328
2015-04-21,179.25999450683594,129.6999969482422
2015-04-22,180.05999755859375,127.72000122070312
2015-04-23,180.3699951171875,128.27000427246094
2015-04-24,180.5399932861328,129.07000732421875
2015-04-27,180.1699981689453,129.07000732421875
2015-04-28,180.83999633789062,127.29000091552734
2015-04-29,180.07000732421875,125.7300033569336
2015-04-30,178.17999267578125,125.94999694824219
2015-05-01,179.89999389648438,124.0
2015-05-04,180.44000244140625,122.83000183105469
2015-05-05,179.00999450683594,122.66000366210938
2015-05-06,178.38999938964844,120.55999755859375
2015-05-07,179.27999877929688,122.18000030517578
2015-05-08,181.85000610351562,122.51000213623047
2015-05-11,181.0800018310547,119.52999877929688
2015-05-12,180.72000122070312,119.83999633789062
2015-05-13,180.75,118.87999725341797
2015-05-14,182.5399932861328,119.19999694824219
2015-05-15,182.47999572753906,121.58999633789062
2015-05-18,182.67999267578125,119.55000305175781
2015-05-19,182.92999267578125,118.48999786376953
2015-05-20,182.7100067138672,118.69000244140625
2015-05-21,182.7899932861328,120.3499984741211
2015-05-22,182.25999450683594,120.4000015258789
2015-05-26,180.3699951171875,122.45999908447266
2015-05-27,181.52000427246094,122.73999786376953
2015-05-28,181.2899932861328,122.44000244140625
2015-05-29,180.11000061035156,122.70999908447266
2015-06-01,180.39999389648438,121.12999725341797
2015-06-02,180.14999389648438,119.44000244140625
2015-06-03,180.8800048828125,117.5199966430664
2015-06-04,179.2100067138672,119.05000305175781
2015-06-05,178.5,117.5999984741211
2015-06-08,177.80999755859375,117.47000122070312
2015-06-09,177.7100067138672,116.54000091552734
2015-06-10,180.05999755859375,115.5199966430664
2015-06-11,180.63999938964844,117.94999694824219
2015-06-12,179.1300048828125,117.94999694824219
2015-06-15,178.10000610351562,118.13999938964844
2015-06-16,179.2100067138672,119.06999969482422
2015-06-17,179.47999572753906,118.1500015258789
2015-06-18,181.3300018310547,117.56999969482422
2015-06-19,179.75999450683594,119.08000183105469
2015-06-22,180.9199981689453,116.6500015258789
2015-06-23,181.1199951171875,115.94999694824219
2015-06-24,179.41000366210938,116.94999694824219
2015-06-25,178.64999389648438,116.54000091552734
2015-06-26,179.1300048828125,115.2300033569336
2015-06-29,175.63999938964844,118.27999877929688
