Date,DIA,TLT
2015-01-02,156.88748168945312,111.40576171875
2015-01-05,154.15428161621094,113.15583801269531
2015-01-06,152.87579345703125,115.19454956054688
2015-01-07,154.81549072265625,114.96704864501953
2015-01-08,157.6104736328125,113.444580078125
2015-01-09,156.25267028808594,114.68704986572266
2015-01-12,155.3885498046875,115.34332275390625
2015-01-13,155.1593017578125,115.34332275390625
2015-01-14,153.4665069580078,116.21830749511719
2015-01-15,152.5847930908203,118.04703521728516
2015-01-16,154.13613891601562,116.54208374023438
2015-01-20,154.339111328125,118.09082794189453
2015-01-21,154.73623657226562,116.72584533691406
2015-01-22,157.0040740966797,116.30582427978516
2015-01-23,155.671630859375,117.9245834350586
2015-01-26,155.75108337402344,117.5658187866211
2015-01-27,153.18313598632812,117.74959564208984
2015-01-28,151.532958984375,119.67462158203125
2015-01-29,153.45663452148438,118.88714599609375
2015-01-30,151.29476928710938,120.99584197998047
2015-02-02,152.90069580078125,120.53898620605469
2015-02-03,155.6010284423828,117.98765563964844
2015-02-04,155.7775421142578,118.18927764892578
2015-02-05,157.56004333496094,116.89166259765625
2015-02-06,157.1541290283203,114.82245635986328
2015-02-09,156.27169799804688,114.63832092285156
2015-02-10,157.52471923828125,113.72648620605469
2015-02-11,157.69235229492188,113.93693542480469
2015-02-12,158.69839477539062,113.5599365234375
2015-02-13,159.1396026611328,112.39382934570312
2015-02-17,159.34255981445312,110.70165252685547
2015-02-18,159.2543487548828,111.35920715332031
2015-02-19,158.91896057128906,110.62272644042969
2015-02-20,160.28170776367188,110.94712829589844
2015-02-23,160.08697509765625,112.21842956542969
2015-02-24,160.96302795410156,113.69143676757812
2015-02-25,161.0072784423828,114.18238067626953
2015-02-26,161.05145263671875,112.62174224853516
2015-02-27,160.32582092285156,113.56864929199219
2015-03-02,161.64439392089844,111.45327758789062
2015-03-03,160.92758178710938,111.0491943359375
2015-03-04,159.9630584716797,111.08430480957031
2015-03-05,160.30828857421875,110.94376373291016
2015-03-06,157.85719299316406,108.49282836914062
2015-03-09,159.0960235595703,109.4942855834961
2015-03-10,156.34413146972656,110.93498992919922
2015-03-11,156.04322814941406,111.74317932128906
2015-03-12,158.36154174804688,111.66413116455078
2015-03-13,157.11395263671875,111.32154083251953
2015-03-16,159.0782470703125,112.3932876586914
2015-03-17,157.94569396972656,113.32445526123047
2015-03-18,159.9188690185547,115.51192474365234
2015-03-19,158.97210693359375,114.92330932617188
2015-03-20,160.40005493164062,115.52944946289062
2015-03-23,160.30252075195312,115.388916015625
2015-03-24,159.39845275878906,116.50460052490234
2015-03-25,156.81903076171875,115.52067565917969
2015-03-26,156.4290313720703,113.71977233886719
2015-03-27,156.7215576171875,115.13416290283203
2015-03-30,159.0084228515625,114.56311798095703
2015-03-31,157.40408325195312,114.80908966064453
2015-04-01,156.6595001220703,116.31706237792969
2015-04-02,157.18246459960938,115.08460998535156
2015-04-06,158.29928588867188,114.44203186035156
2015-04-07,158.14862060546875,115.40152740478516
2015-04-08,158.44110107421875,115.43680572509766
2015-04-09,159.01736450195312,113.94022369384766
2015-04-10,159.8770751953125,114.10747528076172
2015-04-13,159.2300262451172,114.26595306396484
2015-04-14,159.70863342285156,115.07584381103516
2015-04-15,160.3291473388672,114.97905731201172
2015-04-16,160.3557586669922,114.40677642822266
2015-04-17,157.82614135742188,115.71844482421875
2015-04-20,159.6798095703125,114.69729614257812
2015-04-21,158.99684143066406,114.17791748046875
2015-04-22,159.7064666748047,112.43486785888672
2015-04-23,159.9813995361328,112.91905212402344
2015-04-24,160.1322021484375,113.6233139038086
2015-04-27,159.80404663085938,113.6233139038086
2015-04-28,160.39834594726562,112.05634307861328
2015-04-29,159.7153778076172,110.6830062866211
2015-04-30,158.0389404296875,110.87665557861328
2015-05-01,159.56451416015625,109.38410949707031
2015-05-04,160.04356384277344,108.3520278930664
2015-05-05,158.77511596679688,108.20207214355469
2015-05-06,158.22518920898438,106.3495864868164
2015-05-07,159.0146484375,107.77863311767578
2015-05-08,161.2940673828125,108.06976318359375
2015-05-11,160.61117553710938,105.44098663330078
2015-05-12,160.29188537597656,105.71444702148438
2015-05-13,160.3184051513672,104.86760711669922
2015-05-14,161.90611267089844,105.14988708496094
2015-05-15,162.2110595703125,107.25823974609375
2015-05-18,162.388916015625,105.4586410522461
2015-05-19,162.61102294921875,104.52356719970703
2015-05-20,162.41555786132812,104.69999694824219
2015-05-21,162.48660278320312,106.16434478759766
2015-05-22,162.01544189453125,106.20841979980469
